Outcomes

Feasible: ctr.T=0.05; ctr.ctr_min=3.66666666667; ctr.ctr_max=3.72222222222; kpi2=0.148774485326; y3=0.109019588261; best-so-far=0.0699026767817
Feasible: ctr.T=0.05; ctr.ctr_min=3.66666666667; ctr.ctr_max=3.83333333333; kpi2=0.167467406976; y3=0.123973925581; best-so-far=0.0699026767817
Feasible: ctr.T=0.05; ctr.ctr_min=3.66666666667; ctr.ctr_max=3.94444444444; kpi2=0.239490198378; y3=0.181592158702; best-so-far=0.0699026767817
Feasible: ctr.T=0.05; ctr.ctr_min=3.66666666667; ctr.ctr_max=4.05555555556; kpi2=0.287762875816; y3=0.220210300653; best-so-far=0.0699026767817
Feasible: ctr.T=0.05; ctr.ctr_min=3.66666666667; ctr.ctr_max=4.16666666667; kpi2=0.313465725602; y3=0.240772580481; best-so-far=0.0699026767817
Feasible: ctr.T=0.05; ctr.ctr_min=3.66666666667; ctr.ctr_max=4.27777777778; kpi2=0.395777492356; y3=0.306621993885; best-so-far=0.0699026767817
Feasible: ctr.T=0.05; ctr.ctr_min=3.66666666667; ctr.ctr_max=4.38888888889; kpi2=0.427844914086; y3=0.332275931269; best-so-far=0.0699026767817
Feasible: ctr.T=0.05; ctr.ctr_min=3.66666666667; ctr.ctr_max=4.5; kpi2=0.490725500447; y3=0.382580400358; best-so-far=0.0699026767817
Feasible: ctr.T=0.05; ctr.ctr_min=3.77777777778; ctr.ctr_max=3.83333333333; kpi2=0.235154594109; y3=0.178123675287; best-so-far=0.0699026767817
Feasible: ctr.T=0.05; ctr.ctr_min=3.77777777778; ctr.ctr_max=3.94444444444; kpi2=0.260249162988; y3=0.19819933039; best-so-far=0.0699026767817
Feasible: ctr.T=0.05; ctr.ctr_min=3.77777777778; ctr.ctr_max=4.05555555556; kpi2=0.334185099826; y3=0.257348079861; best-so-far=0.0699026767817
Feasible: ctr.T=0.05; ctr.ctr_min=3.77777777778; ctr.ctr_max=4.16666666667; kpi2=0.375207046172; y3=0.290165636937; best-so-far=0.0699026767817
Feasible: ctr.T=0.05; ctr.ctr_min=3.77777777778; ctr.ctr_max=4.27777777778; kpi2=0.407142813762; y3=0.315714251009; best-so-far=0.0699026767817
Feasible: ctr.T=0.05; ctr.ctr_min=3.77777777778; ctr.ctr_max=4.38888888889; kpi2=0.487907444987; y3=0.380325955989; best-so-far=0.0699026767817
Feasible: ctr.T=0.05; ctr.ctr_min=3.77777777778; ctr.ctr_max=4.5; kpi2=0.51803547736; y3=0.404428381888; best-so-far=0.0699026767817
Feasible: ctr.T=0.05; ctr.ctr_min=3.88888888889; ctr.ctr_max=3.94444444444; kpi2=0.323906133804; y3=0.249124907043; best-so-far=0.0699026767817
Feasible: ctr.T=0.05; ctr.ctr_min=3.88888888889; ctr.ctr_max=4.05555555556; kpi2=0.371306596588; y3=0.28704527727; best-so-far=0.0699026767817
