Outcomes

Infeasible: ctr.T=0.05; ctr.ctr_min=3.33333333333; ctr.ctr_max=5.0; kpi2=0.62194469387; y3=0.487555755096; best-so-far=0.133221952307
Feasible: ctr.T=0.05; ctr.ctr_min=3.55555555556; ctr.ctr_max=3.66666666667; kpi2=0.117372000472; y3=0.0838976003775; best-so-far=0.0838976003775
Feasible: ctr.T=0.05; ctr.ctr_min=3.55555555556; ctr.ctr_max=3.88888888889; kpi2=0.182017974419; y3=0.135614379535; best-so-far=0.0838976003775
Feasible: ctr.T=0.05; ctr.ctr_min=3.55555555556; ctr.ctr_max=4.11111111111; kpi2=0.277709780888; y3=0.212167824711; best-so-far=0.0838976003775
Feasible: ctr.T=0.05; ctr.ctr_min=3.55555555556; ctr.ctr_max=4.33333333333; kpi2=0.385969646564; y3=0.298775717251; best-so-far=0.0838976003775
Feasible: ctr.T=0.05; ctr.ctr_min=3.55555555556; ctr.ctr_max=4.55555555556; kpi2=0.488630946586; y3=0.380904757269; best-so-far=0.0838976003775
Feasible: ctr.T=0.05; ctr.ctr_min=3.55555555556; ctr.ctr_max=4.77777777778; kpi2=0.561760317375; y3=0.4394082539; best-so-far=0.0838976003775
Infeasible: ctr.T=0.05; ctr.ctr_min=3.55555555556; ctr.ctr_max=5.0; kpi2=0.682785778076; y3=0.536228622461; best-so-far=0.0838976003775
Feasible: ctr.T=0.05; ctr.ctr_min=3.77777777778; ctr.ctr_max=3.88888888889; kpi2=0.250683882141; y3=0.190547105713; best-so-far=0.0838976003775
Feasible: ctr.T=0.05; ctr.ctr_min=3.77777777778; ctr.ctr_max=4.11111111111; kpi2=0.336453734922; y3=0.259162987938; best-so-far=0.0838976003775
Feasible: ctr.T=0.05; ctr.ctr_min=3.77777777778; ctr.ctr_max=4.33333333333; kpi2=0.441162157417; y3=0.342929725933; best-so-far=0.0838976003775
Feasible: ctr.T=0.05; ctr.ctr_min=3.77777777778; ctr.ctr_max=4.55555555556; kpi2=0.584833904655; y3=0.457867123724; best-so-far=0.0838976003775
Feasible: ctr.T=0.05; ctr.ctr_min=3.77777777778; ctr.ctr_max=4.77777777778; kpi2=0.677189260791; y3=0.531751408633; best-so-far=0.0838976003775
Infeasible: ctr.T=0.05; ctr.ctr_min=3.77777777778; ctr.ctr_max=5.0; kpi2=0.758499007403; y3=0.596799205922; best-so-far=0.0838976003775
Feasible: ctr.T=0.05; ctr.ctr_min=4.0; ctr.ctr_max=4.11111111111; kpi2=0.469283822169; y3=0.365427057735; best-so-far=0.0838976003775
Feasible: ctr.T=0.05; ctr.ctr_min=4.0; ctr.ctr_max=4.33333333333; kpi2=0.554857622147; y3=0.433886097717; best-so-far=0.0838976003775
Feasible: ctr.T=0.05; ctr.ctr_min=4.0; ctr.ctr_max=4.55555555556; kpi2=0.681467267355; y3=0.535173813884; best-so-far=0.0838976003775
Feasible: ctr.T=0.05; ctr.ctr_min=4.0; ctr.ctr_max=4.77777777778; kpi2=0.796305557728; y3=0.627044446182; best-so-far=0.0838976003775
Infeasible: ctr.T=0.05; ctr.ctr_min=4.0; ctr.ctr_max=5.0; kpi2=0.910963574534; y3=0.718770859627; best-so-far=0.0838976003775
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=2.0; ctr.ctr_max=3.0; kpi2=1.12860968797; y3=0.88955441704; best-so-far=0.0838976003775
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=2.0; ctr.ctr_max=3.22222222222; kpi2=1.00279051479; y3=0.788899078498; best-so-far=0.0838976003775
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=2.0; ctr.ctr_max=3.44444444444; kpi2=0.908535890058; y3=0.713495378713; best-so-far=0.0838976003775
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=2.0; ctr.ctr_max=3.66666666667; kpi2=0.846534001985; y3=0.663893868255; best-so-far=0.0838976003775
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=2.0; ctr.ctr_max=3.88888888889; kpi2=0.766233752992; y3=0.599653669061; best-so-far=0.0838976003775
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=2.0; ctr.ctr_max=4.11111111111; kpi2=0.733144440309; y3=0.573182218914; best-so-far=0.0838976003775
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=2.0; ctr.ctr_max=4.33333333333; kpi2=0.73931882443; y3=0.57812172621; best-so-far=0.0838976003775
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=2.0; ctr.ctr_max=4.55555555556; kpi2=0.748868349636; y3=0.585761346375; best-so-far=0.0838976003775
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=2.0; ctr.ctr_max=4.77777777778; kpi2=0.770386833503; y3=0.602976133469; best-so-far=0.0838976003775
Infeasible: ctr.T=0.0666666666667; ctr.ctr_min=2.0; ctr.ctr_max=5.0; kpi2=0.794085417862; y3=0.621935000956; best-so-far=0.0838976003775
